,Abastecimento de Água - Nível de Atendimento - Censo Demográfico (Em %),Coleta de Lixo - Nível de Atendimento - Censo Demográfico (Em %),Esgoto Sanitário - Nível de Atendimento - Censo Demográfico (Em %),Consumo de Energia Elétrica - Total (Em MWh),Consumo de Energia Elétrica - Industrial (Em MWh),Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh),Consumo de Energia Elétrica - Rural (Em MWh),Consumo de Energia Elétrica - Residencial (Em MWh),Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh),Taxa Geométrica de Crescimento Anual da População - 2010/2020 (Em % a.a.),Empregos Formais de Homens ,Empregos Formais de Mulheres ,Empregos Formais das Pessoas de até 24 Anos ,Empregos Formais das Pessoas de 25 a 39 Anos ,Empregos Formais das Pessoas de 40 a 59 Anos ,Empregos Formais das Pessoas de 60 Anos e Mais ,Empregos Formais das Pessoas com Ensino Fundamental Incompleto ,Empregos Formais das Pessoas com Ensino Fundamental Completo ,Empregos Formais das Pessoas com Ensino Médio Completo ,Empregos Formais das Pessoas com Ensino Superior Completo ,Empregos Formais da Agricultura. Pecuária. Produção Florestal. Pesca e Aquicultura ,Empregos Formais da Indústria ,Empregos Formais da Construção ,Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas ,Empregos Formais dos Serviços ,Participação dos Empregos Formais da Agricultura. Pecuária. Produção Florestal. Pesca e Aquicultura no Total de Empregos Formais (Em %),Participação dos Empregos Formais da Indústria no Total de Empregos Formais (Em %),Participação dos Empregos Formais da Construção no Total de Empregos Formais (Em %),Participação dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas no Total de Empregos Formais (Em %),Participação dos Empregos Formais dos Serviços no Total de Empregos Formais (Em %),Frota de Veículos - Total ,Número de Habitantes por Total de Veículos ,Frota de Automóveis ,Número de Habitantes por Automóvel ,Frota de Ônibus ,Frota de Caminhões ,Frota de Reboques ,Frota de Motocicletas e Assemelhados ,Frota de Microônibus e Camionetas ,Frota de Veículos de Outro Tipo ,Índice de Desenvolvimento Humano Municipal - IDHM ,Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ,Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ,Índice de Desenvolvimento Humano Municipal - IDHM Educação ,Índice de Desenvolvimento Humano Municipal - IDHM Renda ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Riqueza ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Longevidade ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Escolaridade ,Leitos de Internação ,Leitos de Internação (Coeficiente por mil habitantes),Leitos SUS ,Leitos SUS (Coeficiente por mil habitantes),Taxa de Natalidade (Por mil habitantes),Taxa de Fecundidade Geral (Por mil mulheres entre 15 e 49 anos),Índice de Envelhecimento (Em %),Óbitos Gerais (por local de residência) ,Taxa de Mortalidade Geral (por local de residência) (Por mil habitantes),Óbitos da População de 15 a 34 Anos ,Taxa de Mortalidade da População de 15 a 34 Anos (Por cem mil habitantes nessa faixa etária),Óbitos da População de 60 Anos e Mais ,Taxa de Mortalidade da População de 60 Anos e Mais (Por cem mil habitantes nessa faixa etária),PIB (Em mil reais correntes),PIB per Capita (Em reais correntes),Participação no PIB do Estado (Em %),População ,População Masculina ,População Feminina ,Razão de Sexos ,População Urbana ,População Rural ,Grau de Urbanização (Em %),População de 0 a 3 Anos ,População de 4 a 6 Anos ,População de 6 Anos ,População de 7 a 10 Anos ,População de 11 a 14 Anos ,População de 15 a 17 Anos ,População de 18 a 19 Anos ,Auxiliares de Enfermagem Registrados no COREN/SP ,Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes),Dentistas Registrados no CRO/SP ,Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes),Enfermeiros Registrados no COREN/SP ,Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes),Fonoaudiólogos registrados no CRFa/SP ,Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes),Médicos Registrados no CRM/SP ,Médicos Registrados no CRM/SP (Coeficiente por mil habitantes),Técnicos de Enfermagem Registrados no COREN/SP ,Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes),Técnicos de Prótese Dentária Registrados no CRO/SP ,Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes),Renda per Capita - Censo Demográfico (Em reais correntes),Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %),Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %),Area,densidade
0,99.76,99.89,99.03,74776,8108,18478,2901,32848,12441,0.03,5422,5023,1722,4255,3804,664,776,1590,6215,1864,692,1857,362,2892,4642,6.63,17.78,3.47,27.69,44.44,26983,1.26,14831,2.28,79,1040,1223,6490,3312,8,0.79,35,0.852,0.75,0.772,38,72,61,235,6.93,206,6.08,11.21,45.25,133.52,301,8.88,8,83.27,254,3594.17,1054541.08,31121.18,0.049746,33894,16326,17568,92.93,32668,1226,96.38,1353,1115,371,1420,1330,1097,783,168,4.96,112,6.61,160,4.72,6,0.18,94,2.77,62,1.83,8,0.47,778.44,12.78,3.03,411.987,82.26958617626285
1,96.76,99.72,95.93,13436,74,1071,6470,4260,1561,-0.32,472,382,62,297,416,79,236,168,312,138,318,43,21,66,406,37.24,5.04,2.46,7.73,47.54,2405,1.44,1389,2.5,29,97,208,403,278,1,0.73,388,0.8440000000000001,0.648,0.71,38,67,67,0,0.0,0,0.0,13.26,53.99,129.09,32,9.22,2,200.4,29,4084.51,99734.63,28667.61,0.004705,3447,1707,1740,98.1,3189,258,92.52,133,100,34,140,152,129,91,12,3.47,6,3.47,7,2.02,3,0.87,0,0.0,28,8.1,0,0.0,588.02,16.08,5.33,211.055,16.332235673165762
2,99.29,99.66,98.87,86329,33297,7810,14278,21598,9346,1.04,4372,2612,918,3171,2589,306,748,1637,3429,1170,1343,2258,123,1365,1895,19.23,32.33,1.76,19.54,27.13,21103,1.65,11123,3.14,218,1140,471,5738,2407,6,0.715,502,0.858,0.606,0.703,33,68,48,0,0.0,0,0.0,13.06,49.19,69.33,250,7.16,13,112.23,199,4072.03,942708.52,27263.25,0.04447,35608,17889,17719,100.96,32833,2775,92.21,1899,1432,476,1884,1860,1389,989,40,1.13,34,1.93,44,1.25,3,0.09,31,0.88,129,3.66,2,0.11,540.88,24.41,6.87,474.554,75.03466412673794
3,95.84,99.38,87.99,13629,1929,2282,1717,5786,1915,0.28,550,433,115,347,449,72,159,180,434,210,206,169,30,164,414,20.96,17.19,3.05,16.68,42.12,4666,1.66,2818,2.75,14,137,62,947,687,1,0.7809999999999999,62,0.8859999999999999,0.716,0.75,30,75,62,0,0.0,0,0.0,11.73,48.0,137.45,87,11.21,0,0.0,66,4004.85,153773.21,19869.91,0.007254000000000002,7797,3830,3967,96.55,7188,609,92.19,302,225,75,311,336,267,191,25,3.21,3,0.77,10,1.29,1,0.13,7,0.9,29,3.73,1,0.26,726.28,18.04,4.09,142.673,54.64944313219741
4,93.54,98.74,90.33,47189,4399,16236,1505,18256,6792,0.63,2522,2083,642,1829,1845,289,675,781,2414,735,55,801,35,825,2889,1.19,17.39,0.76,17.92,62.74,13141,1.38,7528,2.41,97,210,123,3645,1535,3,0.745,265,0.846,0.675,0.725,39,74,65,42,2.3,30,1.64,10.57,40.95,90.63,176,9.69,6,113.19,139,4449.42,472983.83,26192.48,0.022312,18374,8944,9430,94.85,18209,165,99.1,947,822,270,965,772,629,468,14,0.77,38,4.16,28,1.53,6,0.33,34,1.86,65,3.56,1,0.11,680.22,15.97,5.31,60.12600000000001,305.5915909922496
5,98.53,100.0,75.56,16471,717,2756,5161,5615,2222,0.58,965,560,257,596,610,62,375,376,550,224,829,76,23,116,481,54.36,4.98,1.51,7.61,31.54,4069,1.44,2486,2.36,39,178,191,597,576,2,0.757,182,0.84,0.695,0.7440000000000001,39,64,71,0,0.0,0,0.0,9.38,36.57,92.06,43,7.33,2,113.7,33,3163.95,148264.01,25418.14,0.006993999999999999,5931,2903,3028,95.87,4611,1320,77.74,304,232,77,302,292,218,166,16,2.71,6,2.03,14,2.37,2,0.34,0,0.0,17,2.88,1,0.34,703.8,17.09,4.77,404.463,14.663887673285318
6,99.9,99.9,97.47,15236,14,6605,0,5707,2911,1.47,633,683,236,508,508,64,176,161,716,263,4,32,34,262,984,0.3,2.43,2.58,19.91,74.77,2585,1.18,1710,1.78,6,42,95,342,385,5,0.8540000000000001,2,0.89,0.825,0.8490000000000001,53,74,78,0,0.0,0,0.0,8.87,36.94,170.29,19,6.24,0,0.0,19,2529.96,125145.61,41659.66,0.005904,3122,1466,1656,88.53,3122,0,100.0,134,108,34,119,97,91,73,5,1.62,9,5.84,7,2.27,0,0.0,15,4.87,20,6.49,0,0.0,1353.66,7.27,2.93,3.612,864.3410852713178
7,99.04,99.86,96.91,323766,268034,9389,4423,29483,12436,0.46,4987,3535,1404,3772,3073,273,701,1294,5031,1496,897,2098,182,1193,4152,10.53,24.62,2.14,14.0,48.72,21197,1.69,12620,2.84,118,756,561,4786,2342,14,0.745,265,0.845,0.6940000000000001,0.705,40,74,55,60,1.67,38,1.06,14.79,54.54,73.36,272,7.59,10,86.73,188,3639.88,2063021.7,57826.6,0.097319,36134,17816,18318,97.26,34815,1319,96.35,1813,1427,477,1885,1845,1390,1006,115,3.2,33,1.83,71,1.97,10,0.28,40,1.11,190,5.28,1,0.06,584.66,21.07,6.88,966.708,37.378401751097535
8,96.12,99.82,70.55,9207,806,1071,2050,4040,1239,1.72,516,457,141,420,360,52,110,204,532,127,270,216,4,115,368,27.75,22.2,0.41,11.82,37.82,2418,2.32,1248,4.49,8,109,46,695,308,4,0.7120000000000001,522,0.805,0.6579999999999999,0.682,30,57,53,0,0.0,0,0.0,12.14,43.23,69.31,28,5.0,1,50.1,21,2727.27,100566.7,18245.05,0.004744,5779,2885,2894,99.69,4729,1050,81.83,301,210,70,281,306,257,193,22,3.87,2,0.7,10,1.76,0,0.0,1,0.18,40,7.03,0,0.0,510.33,24.15,7.22,159.6,36.209273182957396
9,98.76,99.12,97.35,8153,1365,777,1683,3300,1027,0.1,556,355,238,381,258,34,67,152,543,149,28,450,6,62,365,3.07,49.4,0.66,6.81,40.07,2396,1.64,1437,2.73,8,82,74,440,355,0,0.741,297,0.84,0.71,0.682,28,63,61,0,0.0,0,0.0,15.04,64.48,153.23,38,9.69,1,88.26,31,3530.75,82999.9,21173.45,0.003915,3927,2001,1926,103.89,3554,373,90.5,145,114,38,147,149,137,100,28,7.14,5,2.55,7,1.78,0,0.0,3,0.76,21,5.35,0,0.0,574.27,19.16,4.59,118.915,33.02358827734096
10,98.31,100.0,86.12,12843,5,503,9502,2138,695,0.57,525,187,70,261,330,51,214,160,263,75,437,4,1,56,214,61.38,0.56,0.14,7.87,30.06,1610,2.48,1039,3.84,38,81,74,187,190,1,0.687,612,0.8,0.581,0.698,42,72,50,0,0.0,0,0.0,9.76,38.39,66.37,34,8.51,1,76.86,26,4990.4,210080.96,52877.16,0.00991,4036,2142,1894,113.09,3413,623,84.56,192,138,47,207,231,163,112,6,1.49,3,1.49,7,1.74,0,0.0,0,0.0,30,7.47,0,0.0,517.99,20.74,5.31,313.007,12.894280319609466
11,99.93,99.93,98.88,34080,346,5074,8481,12794,7385,-0.03,2465,1327,536,1477,1471,308,991,804,1479,518,1672,47,24,697,1352,44.09,1.24,0.63,18.38,35.65,9748,1.6,6196,2.51,126,550,375,910,1587,4,0.73,388,0.843,0.635,0.726,36,64,52,31,1.99,25,1.61,11.89,46.04,104.54,116,7.46,5,104.91,89,3139.33,526939.31,33869.35,0.024857,15553,7735,7818,98.94,14272,1281,91.76,694,553,183,707,685,573,429,39,2.51,30,3.86,42,2.7,3,0.19,20,1.29,91,5.85,1,0.13,635.36,18.0,3.96,928.956,16.742450665047645
12,99.36,99.64,96.17,46830,67,1628,41180,2887,1068,-0.21,284,209,33,197,223,40,85,110,216,82,78,33,2,117,263,15.82,6.69,0.41,23.73,53.35,2490,1.62,1311,3.08,47,133,179,458,362,0,0.7,581,0.8170000000000001,0.616,0.6829999999999999,45,74,55,22,5.46,19,4.72,8.42,37.08,153.77,34,8.42,0,0.0,27,2878.46,110457.63,27293.71,0.005211,4017,2052,1965,104.43,3412,605,84.94,150,113,38,158,174,126,91,7,1.74,4,1.99,14,3.48,0,0.0,2,0.5,18,4.47,0,0.0,517.16,20.75,5.45,318.574,12.60931526113242
13,98.49,99.98,91.71,4643713,4623197,5075,22,11400,4019,0.66,5091,1240,621,3043,2475,192,188,373,4714,1056,18,4372,299,389,1253,0.28,69.06,4.72,6.14,19.79,8374,2.12,5899,3.01,45,304,98,1160,858,10,0.7659999999999999,131,0.841,0.732,0.7290000000000001,50,69,57,0,0.0,0,0.0,11.61,42.02,54.73,111,6.25,1,17.3,80,3864.73,1853577.18,105101.9,0.087439,17972,9023,8949,100.83,15073,2899,83.87,976,759,252,985,977,819,577,58,3.25,11,1.23,27,1.51,3,0.17,2,0.11,100,5.6,0,0.0,653.51,17.47,6.54,83.66,214.8218981592159
14,99.49,99.8,98.98,9807,525,730,5161,2371,1020,-0.74,238,242,23,175,245,37,80,80,213,107,114,27,0,29,310,23.75,5.63,0.0,6.04,64.58,1967,1.87,1117,3.29,17,89,97,368,279,0,0.728,409,0.8059999999999999,0.6829999999999999,0.701,30,67,64,0,0.0,0,0.0,7.62,33.98,212.5,37,10.07,1,106.84,31,3256.3,105910.83,28624.55,0.004996,3621,1832,1789,102.4,2663,958,73.54,107,76,26,113,131,103,79,3,0.82,6,3.29,5,1.37,0,0.0,2,0.55,14,3.84,0,0.0,463.88,26.23,10.57,362.411,9.991418582769287
15,97.98,99.04,93.06,41093,3982,7440,3834,20807,5030,0.12,1988,1296,395,1307,1365,217,476,480,1710,618,122,885,55,804,1418,3.71,26.95,1.67,24.48,43.18,15047,1.58,8161,2.91,36,563,367,4098,1820,2,0.758,177,0.8340000000000001,0.732,0.7120000000000001,31,67,53,20,0.84,18,0.76,13.33,51.17,96.43,183,7.72,9,120.94,131,3253.85,509445.99,21516.49,0.024032,23789,11684,12105,96.52,21720,2069,91.3,1036,789,264,1059,1120,976,702,145,6.11,35,2.95,68,2.86,4,0.17,42,1.77,80,3.37,1,0.08,558.09,23.9,6.45,347.647,68.42860717912136
16,99.89,99.89,99.23,5548,323,347,1029,1914,1935,0.83,238,190,31,156,206,35,105,75,176,72,124,6,27,34,237,28.97,1.4,6.31,7.94,55.37,1390,3.57,935,5.31,30,38,20,213,154,0,0.688,610,0.805,0.605,0.669,23,66,46,0,0.0,0,0.0,7.86,41.36,67.31,29,5.84,0,0.0,22,3971.12,49483.04,10053.44,0.002334,5044,3142,1902,165.19,3400,1644,67.41,233,177,58,222,207,132,133,10,2.0,1,0.4,3,0.6,1,0.2,1,0.2,17,3.4,0,0.0,331.26,26.38,7.61,153.662,32.825291874373626
17,100.0,100.0,95.62,4318,53,363,1134,1795,973,0.58,235,143,28,128,185,37,102,59,133,84,114,35,12,16,201,30.16,9.26,3.17,4.23,53.17,1413,2.22,881,3.57,15,63,39,214,201,0,0.722,452,0.7909999999999999,0.659,0.721,28,68,60,0,0.0,0,0.0,16.55,64.2,70.03,38,12.09,3,304.88,26,5427.97,63814.36,20414.06,0.00301,3176,1566,1610,97.27,2929,247,92.22,187,147,49,187,171,121,91,19,6.01,0,0.0,6,1.9,0,0.0,0,0.0,25,7.91,0,0.0,500.44,27.3,5.7,84.87899999999998,37.41797146526232
18,98.31,99.93,98.37,1070215,621300,140807,268,243002,64838,1.05,39091,32460,11298,30861,25763,3629,5643,11290,42410,12208,108,23137,2394,15251,30661,0.15,32.34,3.35,21.31,42.85,179236,1.28,112905,2.03,554,4283,3559,33496,24375,64,0.8109999999999999,11,0.8759999999999999,0.76,0.8,43,76,67,517,2.23,207,0.89,11.8,43.97,97.3,1446,6.31,48,68.76,1074,2900.27,10382872.9,45694.64,0.489792,233458,114164,119294,95.7,232367,1091,99.53,9982,8070,2686,10362,9763,7623,5561,478,2.07,589,5.09,439,1.9,81,0.35,656,2.84,1083,4.68,48,0.41,996.71,8.01,2.78,133.912,1743.368779496983
19,99.69,99.85,99.51,55194,6958,11332,444,24935,11524,1.57,6576,3066,1218,4440,3581,403,1452,2324,4607,1259,103,4212,928,1175,3224,1.07,43.68,9.62,12.19,33.44,24497,1.6,13703,2.85,216,1161,1357,5742,2233,85,0.7509999999999999,219,0.852,0.701,0.7090000000000001,38,73,58,177,4.46,177,4.46,11.45,39.83,49.27,180,4.6,8,59.37,122,3007.15,948260.06,24584.16,0.044732,40243,20106,20137,99.85,39938,305,99.24,2262,1761,583,2235,2083,1562,1143,67,1.69,18,0.91,54,1.36,4,0.1,12,0.3,357,9.0,0,0.0,565.83,18.66,6.04,122.785,327.7517612086167
20,99.82,99.82,98.98,10084,86,1221,2349,4613,1814,0.05,255,301,47,194,279,36,71,69,264,152,45,42,5,96,368,8.09,7.55,0.9,17.27,66.19,3673,1.56,2211,2.59,34,149,141,668,470,0,0.745,265,0.8170000000000001,0.708,0.715,27,80,61,0,0.0,0,0.0,11.16,45.45,135.29,54,9.42,0,0.0,44,3678.93,104696.97,18262.16,0.004939,5736,2865,2871,99.79,5025,711,87.6,219,166,55,228,244,197,149,7,1.22,11,3.84,13,2.27,2,0.35,2,0.35,17,2.96,0,0.0,591.29,17.83,2.93,252.876,22.683054145114607
21,93.95,99.85,89.47,393653,271108,23264,22988,59302,16992,0.57,13300,10531,3636,10360,8651,1184,3595,4045,11579,4612,1500,11080,455,4014,6782,6.29,46.49,1.91,16.84,28.46,53843,1.28,29506,2.34,155,1662,648,15234,6626,12,0.785,50,0.871,0.711,0.78,43,76,68,392,5.66,215,3.1,12.02,45.53,105.55,582,8.44,24,114.35,458,3831.67,4358990.77,63540.29,0.205627,69639,34189,35450,96.44,58620,11019,84.18,2935,2367,787,3026,2881,2366,1725,78,1.13,155,4.47,153,2.21,22,0.32,155,2.24,425,6.13,17,0.49,816.69,10.48,2.8,445.323,156.37862854602164
22,98.73,100.0,93.28,10482,2504,836,1611,3912,1619,1.24,644,346,101,395,424,70,182,253,419,136,319,195,5,73,398,32.22,19.7,0.51,7.37,40.2,2456,1.93,1523,3.12,17,152,98,332,333,1,0.754,199,0.861,0.6679999999999999,0.745,38,71,54,0,0.0,0,0.0,9.48,36.59,85.14,30,6.32,2,128.53,19,2493.44,159305.03,33938.01,0.007515000000000002,4850,2475,2375,104.21,4065,785,83.81,235,168,56,233,250,196,139,5,1.04,1,0.42,9,1.88,1,0.21,2,0.42,16,3.33,0,0.0,685.94,17.98,4.33,325.953,14.879445809671948
23,99.32,99.47,90.29,204817,98751,30294,6894,53940,14937,0.13,8971,6584,2126,6567,6021,841,1613,2251,9042,2649,453,4390,1015,3476,6221,2.91,28.22,6.53,22.35,39.99,44862,1.25,22281,2.51,174,1736,1817,14225,4616,13,0.779,73,0.885,0.7020000000000001,0.762,40,66,65,127,2.27,91,1.63,12.98,51.7,106.42,495,8.85,19,116.77,376,3676.9,1971994.81,35286.03,0.093025,56054,27443,28611,95.92,52856,3198,94.29,2466,2017,673,2597,2438,1883,1385,304,5.43,110,3.93,131,2.34,9,0.16,165,2.95,180,3.21,7,0.25,710.0,16.83,5.28,964.226,58.13367405566744
24,99.25,99.6,96.96,164594,86762,39450,20915,13133,4334,1.0,3214,1848,801,2174,1887,200,1027,923,2599,513,1603,857,182,903,1517,31.67,16.93,3.6,17.84,29.97,13032,1.84,7172,3.35,126,586,418,3062,1665,3,0.7190000000000001,476,0.8270000000000001,0.648,0.693,38,73,69,57,2.35,54,2.23,14.06,53.11,73.41,168,6.99,6,76.87,125,3556.19,963361.32,40458.67,0.045445,24501,12302,12199,100.84,18333,6168,74.83,1291,957,317,1247,1257,1017,732,62,2.55,17,1.4,25,1.03,3,0.12,14,0.58,78,3.21,0,0.0,524.82,24.21,5.75,1027.288,23.850176386758147
25,98.87,99.85,97.97,11323,1693,1042,2730,4164,1693,1.69,587,285,104,311,419,38,201,213,281,177,339,106,0,57,370,38.88,12.16,0.0,6.54,42.43,2290,2.82,1475,4.38,26,119,77,229,363,1,0.721,460,0.863,0.637,0.6809999999999999,26,80,43,0,0.0,0,0.0,13.76,52.02,68.12,57,8.81,1,46.15,45,4977.88,154449.54,24257.82,0.007286,6672,3398,3274,103.79,5256,1416,78.78,359,244,81,340,374,300,221,3,0.46,0,0.0,24,3.65,0,0.0,0,0.0,20,3.05,0,0.0,401.87,26.73,8.46,736.557,9.058362081956997
26,99.89,100.0,99.47,5510,87,536,1303,2705,879,0.59,210,268,30,194,212,42,81,74,209,114,97,43,1,52,285,20.29,9.0,0.21,10.88,59.62,1976,1.98,1151,3.4,9,84,54,354,324,0,0.741,297,0.845,0.706,0.6829999999999999,25,68,60,0,0.0,0,0.0,14.29,54.16,93.04,29,7.4,2,157.36,21,3271.03,83442.65,21406.53,0.003936,3963,1971,1992,98.95,3477,486,87.74,179,133,44,175,185,158,118,24,6.09,0,0.0,5,1.27,2,0.51,2,0.51,10,2.54,0,0.0,475.43,26.11,9.26,320.84,12.351951128288245
27,99.33,99.01,97.01,92094,4141,46680,667,31234,9372,0.2,5955,5645,1987,4893,4256,464,803,2168,6900,1729,78,521,198,2824,7979,0.67,4.49,1.71,24.34,68.78,22223,1.6,12650,2.81,525,882,316,4640,3200,10,0.755,195,0.828,0.706,0.735,42,74,67,104,2.92,70,1.96,12.23,46.32,83.52,284,7.98,11,100.74,203,3617.89,1048665.81,29539.05,0.049469,35709,17187,18522,92.79,35190,519,98.55,1718,1397,466,1814,1718,1321,923,37,1.04,65,3.65,73,2.05,6,0.17,32,0.9,220,6.17,3,0.17,639.68,20.15,5.83,121.076,294.93045690310214
28,99.69,100.0,96.99,9411,2342,846,1919,3218,1087,-0.75,437,274,114,283,286,28,92,93,401,125,106,218,9,71,307,14.91,30.66,1.27,9.99,43.18,3150,1.33,1872,2.24,30,111,152,588,397,0,0.721,460,0.804,0.67,0.6970000000000001,29,81,74,22,5.29,20,4.81,11.69,48.66,154.44,37,8.83,1,87.03,29,2980.47,125464.42,29716.82,0.005919,4132,2001,2131,93.9,3589,543,86.86,158,122,40,161,163,141,109,4,0.96,5,2.4,16,3.84,1,0.24,7,1.68,31,7.45,0,0.0,508.0,26.89,9.37,179.00400000000005,23.08328305512725
29,96.85,97.86,69.96,153274,131361,4355,1330,12245,3984,-0.22,2635,1738,751,1876,1575,171,718,594,2560,501,1150,648,142,974,1459,26.3,14.82,3.25,22.27,33.36,11125,2.22,5726,4.31,99,505,229,3214,1345,7,0.71,534,0.835,0.647,0.662,27,63,54,45,1.82,39,1.58,14.26,53.08,66.26,190,7.7,9,110.23,128,3678.16,651733.4,26398.79,0.030744,24666,12298,12368,99.43,19995,4671,81.06,1370,1042,344,1333,1321,1118,850,64,2.59,20,1.62,32,1.3,1,0.04,20,0.81,76,3.08,2,0.16,445.21,44.46,21.26,974.322,25.316065941239142
30,99.87,99.09,97.14,9570,206,1288,844,4955,2277,0.65,326,390,81,281,309,45,49,166,371,130,68,16,5,184,443,9.5,2.23,0.7,25.7,61.87,3035,1.79,2091,2.6,29,111,133,253,417,1,0.74,306,0.856,0.6559999999999999,0.723,33,77,50,0,0.0,0,0.0,11.78,45.07,97.26,51,9.39,0,0.0,41,4446.85,128364.63,23762.43,0.006055,5496,2741,2755,99.49,5293,203,96.31,252,206,67,257,234,187,138,2,0.37,11,4.03,7,1.28,2,0.37,3,0.55,23,4.21,0,0.0,616.78,17.42,4.66,202.829,27.09671693889927
31,95.06,99.37,94.64,9559,58,746,2867,3844,2045,0.07,926,439,213,549,514,89,447,314,443,161,781,2,1,110,471,57.22,0.15,0.07,8.06,34.51,2625,2.34,1589,3.87,27,74,59,517,358,1,0.685,616,0.8059999999999999,0.5920000000000001,0.675,31,68,43,12,1.95,12,1.95,14.3,53.92,83.3,49,7.96,2,99.3,37,3822.31,119198.12,19384.96,0.005623,6165,3099,3066,101.08,5087,1078,82.51,309,234,77,298,297,243,183,25,4.06,1,0.32,5,0.81,0,0.0,2,0.32,4,0.65,1,0.32,484.52,22.54,5.78,285.908,21.562880367111106
32,96.71,99.34,59.38,2675,21,391,434,1458,372,-0.09,227,149,12,104,224,36,117,52,124,83,58,6,0,38,274,15.43,1.6,0.0,10.11,72.87,1130,2.19,702,3.52,11,48,15,215,139,0,0.68,621,0.812,0.612,0.634,21,81,30,0,0.0,0,0.0,7.69,29.73,87.42,13,5.26,0,0.0,9,2195.12,29090.4,11767.96,0.001372,2471,1234,1237,99.76,1920,551,77.7,119,87,29,120,129,102,75,6,2.43,0,0.0,2,0.81,0,0.0,0,0.0,3,1.21,0,0.0,414.54,31.9,9.75,156.903,15.748583519754245
33,99.43,99.96,98.89,705456,227451,139217,6355,231166,101269,0.88,37979,35903,10840,32292,27223,3527,4485,14642,40747,14008,1080,14652,2766,16506,38878,1.46,19.83,3.74,22.34,52.62,179756,1.25,105104,2.13,1266,5359,5318,43052,19597,60,0.815,7,0.877,0.782,0.7879999999999999,43,74,60,442,1.96,222,0.98,12.53,46.22,101.2,1680,7.49,54,77.98,1274,3387.04,9009108.25,40437.49,0.424987,227618,109815,117803,93.22,221147,6471,97.16,9719,7784,2595,10098,9624,7312,5403,354,1.57,827,7.32,665,2.94,93,0.41,729,3.23,1791,7.92,61,0.54,891.74,12.69,4.21,1003.625,226.79586498941345
34,99.91,99.95,99.79,485279,251799,76515,15141,107272,34552,0.99,22528,15158,4935,17058,13862,1831,5097,5721,19852,7016,1258,12195,1273,6979,15981,3.34,32.36,3.38,18.52,42.41,100328,1.28,54990,2.34,376,3065,1998,29280,10560,59,0.7809999999999999,62,0.8590000000000001,0.728,0.763,40,68,68,503,3.87,246,1.89,12.18,44.69,90.32,904,7.03,32,77.9,657,3292.24,5284021.06,41442.98,0.249263,131057,64375,66682,96.54,124772,6285,95.2,5836,4498,1499,5929,5851,4426,3264,467,3.6,334,5.14,471,3.63,32,0.25,316,2.43,913,7.03,17,0.26,796.15,13.16,3.8,644.831,203.24239994665268
35,68.14,91.23,53.42,461089,423321,15812,187,16878,4890,2.11,6886,3146,1451,4982,3349,250,790,1678,6125,1439,10,3818,1063,1653,3488,0.1,38.06,10.6,16.48,34.77,10223,1.98,5984,3.38,59,672,273,1869,1343,23,0.7040000000000001,560,0.8140000000000001,0.597,0.7170000000000001,50,69,47,0,0.0,0,0.0,18.69,66.64,40.61,106,5.24,6,83.92,76,3855.91,2844223.83,143249.75,0.134171,20980,10611,10369,102.33,20980,0,100.0,1357,1005,332,1299,1264,950,673,24,1.17,8,0.78,23,1.12,3,0.15,8,0.39,66,3.2,1,0.1,591.97,20.93,6.03,145.204,144.48637778573593
36,99.04,99.85,98.65,532357,101383,128469,8971,237013,56521,0.48,29315,23097,8328,22901,18970,2213,2934,8054,31325,10099,966,8322,2116,14408,26600,1.84,15.88,4.04,27.49,50.75,171468,1.1,81497,2.32,800,4786,5847,60926,17557,55,0.7879999999999999,40,0.841,0.7440000000000001,0.782,42,69,63,435,2.29,305,1.61,12.64,47.84,105.14,1621,8.58,62,112.99,1183,3578.67,6970532.86,37058.18,0.32882100000000003,190469,91360,99109,92.18,186796,3673,98.07,7996,6430,2154,8528,8302,6197,4530,1159,6.11,757,7.98,627,3.31,44,0.23,639,3.37,629,3.32,52,0.55,847.76,15.06,5.58,1167.126,163.19489069731975
