,Abastecimento de Água - Nível de Atendimento - Censo Demográfico (Em %),Coleta de Lixo - Nível de Atendimento - Censo Demográfico (Em %),Esgoto Sanitário - Nível de Atendimento - Censo Demográfico (Em %),Consumo de Energia Elétrica - Total (Em MWh),Consumo de Energia Elétrica - Industrial (Em MWh),Consumo de Energia Elétrica -  Comércio e Serviços (Em MWh),Consumo de Energia Elétrica - Rural (Em MWh),Consumo de Energia Elétrica - Residencial (Em MWh),Consumo de Energia Elétrica - Iluminação e Serviços Públicos e Outros (Em MWh),Taxa Geométrica de Crescimento Anual da População - 2010/2020 (Em % a.a.),Empregos Formais de Homens ,Empregos Formais de Mulheres ,Empregos Formais das Pessoas de até 24 Anos ,Empregos Formais das Pessoas de 25 a 39 Anos ,Empregos Formais das Pessoas de 40 a 59 Anos ,Empregos Formais das Pessoas de 60 Anos e Mais ,Empregos Formais das Pessoas com Ensino Fundamental Incompleto ,Empregos Formais das Pessoas com Ensino Fundamental Completo ,Empregos Formais das Pessoas com Ensino Médio Completo ,Empregos Formais das Pessoas com Ensino Superior Completo ,Empregos Formais da Agricultura. Pecuária. Produção Florestal. Pesca e Aquicultura ,Empregos Formais da Indústria ,Empregos Formais da Construção ,Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas ,Empregos Formais dos Serviços ,Participação dos Empregos Formais da Agricultura. Pecuária. Produção Florestal. Pesca e Aquicultura no Total de Empregos Formais (Em %),Participação dos Empregos Formais da Indústria no Total de Empregos Formais (Em %),Participação dos Empregos Formais da Construção no Total de Empregos Formais (Em %),Participação dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas no Total de Empregos Formais (Em %),Participação dos Empregos Formais dos Serviços no Total de Empregos Formais (Em %),Frota de Veículos - Total ,Número de Habitantes por Total de Veículos ,Frota de Automóveis ,Número de Habitantes por Automóvel ,Frota de Ônibus ,Frota de Caminhões ,Frota de Reboques ,Frota de Motocicletas e Assemelhados ,Frota de Microônibus e Camionetas ,Frota de Veículos de Outro Tipo ,Índice de Desenvolvimento Humano Municipal - IDHM ,Índice de Desenvolvimento Humano Municipal - IDHM - Ranking dos Municípios ,Índice de Desenvolvimento Humano Municipal - IDHM Longevidade ,Índice de Desenvolvimento Humano Municipal - IDHM Educação ,Índice de Desenvolvimento Humano Municipal - IDHM Renda ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Riqueza ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Longevidade ,Índice Paulista de Responsabilidade Social - IPRS - Dimensão Escolaridade ,Leitos de Internação ,Leitos de Internação (Coeficiente por mil habitantes),Leitos SUS ,Leitos SUS (Coeficiente por mil habitantes),Taxa de Natalidade (Por mil habitantes),Taxa de Fecundidade Geral (Por mil mulheres entre 15 e 49 anos),Índice de Envelhecimento (Em %),Óbitos Gerais (por local de residência) ,Taxa de Mortalidade Geral (por local de residência) (Por mil habitantes),Óbitos da População de 15 a 34 Anos ,Taxa de Mortalidade da População de 15 a 34 Anos (Por cem mil habitantes nessa faixa etária),Óbitos da População de 60 Anos e Mais ,Taxa de Mortalidade da População de 60 Anos e Mais (Por cem mil habitantes nessa faixa etária),PIB (Em mil reais correntes),PIB per Capita (Em reais correntes),Participação no PIB do Estado (Em %),População ,População Masculina ,População Feminina ,Razão de Sexos ,População Urbana ,População Rural ,Grau de Urbanização (Em %),População de 0 a 3 Anos ,População de 4 a 6 Anos ,População de 6 Anos ,População de 7 a 10 Anos ,População de 11 a 14 Anos ,População de 15 a 17 Anos ,População de 18 a 19 Anos ,Auxiliares de Enfermagem Registrados no COREN/SP ,Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes),Dentistas Registrados no CRO/SP ,Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes),Enfermeiros Registrados no COREN/SP ,Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes),Fonoaudiólogos registrados no CRFa/SP ,Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes),Médicos Registrados no CRM/SP ,Médicos Registrados no CRM/SP (Coeficiente por mil habitantes),Técnicos de Enfermagem Registrados no COREN/SP ,Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes),Técnicos de Prótese Dentária Registrados no CRO/SP ,Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes),Renda per Capita - Censo Demográfico (Em reais correntes),Domicílios Particulares com Renda per Capita até 1/2 Salário Mínimo - Censo Demográfico (Em %),Domicílios Particulares com Renda per Capita até 1/4 do Salário Mínimo - Censo Demográfico (Em %),Area,densidade
366,99.22,99.78,98.5,71631,8549,15250,3253,35690,8889,0.64,6358,3430,1363,4266,3599,560,1554,2347,4523,1364,3233,1799,81,1990,2685,33.03,18.38,0.83,20.33,27.43,29374,1.31,15150,2.54,327,1506,1608,7380,3372,31,0.753,207,0.865,0.665,0.741,39,75,82,105,2.71,35,0.9,12.39,47.85,95.96,317,8.23,9,76.1,241,3677.7,1268736.07,33142.71,0.05985,38954,19364,19590,98.85,36529,2425,93.77,1779,1340,447,1787,1829,1473,1042,23,0.59,65,3.36,50,1.29,10,0.26,67,1.73,122,3.15,8,0.41,705.62,14.44,4.31,931.743,41.80766584777133
367,99.9,99.9,99.9,50196,33083,4338,3994,6156,2624,0.65,1444,1648,642,1341,976,133,635,697,1346,414,391,1679,6,241,775,12.65,54.3,0.19,7.79,25.06,4162,1.73,2525,2.84,64,280,134,455,703,1,0.746,260,0.866,0.6559999999999999,0.73,44,67,81,0,0.0,0,0.0,10.86,41.58,94.86,40,5.57,0,0.0,32,2711.86,527531.65,73873.64,0.024885,7268,3616,3652,99.01,6926,342,95.29,322,243,81,327,334,264,191,7,0.97,9,2.49,17,2.35,1,0.14,5,0.69,33,4.57,0,0.0,665.49,14.21,4.53,348.265,20.869165721505176
368,99.82,99.45,97.99,7347,166,850,2450,2858,1023,-0.04,581,317,104,305,416,73,230,171,397,100,432,58,24,97,287,48.11,6.46,2.67,10.8,31.96,2424,1.71,1447,2.87,28,130,59,394,363,3,0.7170000000000001,494,0.83,0.653,0.679,33,70,66,0,0.0,0,0.0,14.71,59.92,94.3,36,8.68,1,79.43,25,3360.22,124605.77,30032.72,0.005878,4146,2095,2051,102.15,3582,564,86.4,196,148,50,207,219,164,115,23,5.55,5,2.41,10,2.41,1,0.24,0,0.0,4,0.96,0,0.0,497.26,24.96,5.91,301.036,13.772439176709762
369,98.82,100.0,91.26,5620,46,225,3053,1485,810,-0.57,219,121,30,129,159,22,52,92,138,58,145,0,5,10,180,42.65,0.0,1.47,2.94,52.94,1318,1.93,858,2.97,9,50,46,172,183,0,0.73,388,0.858,0.637,0.713,32,78,60,0,0.0,0,0.0,11.37,49.24,127.01,22,8.63,0,0.0,20,3514.94,88221.06,34461.35,0.004162,2527,1250,1277,97.89,1818,709,71.94,114,92,30,114,110,107,77,12,4.73,2,1.58,3,1.18,0,0.0,7,2.76,3,1.18,0,0.0,538.23,21.73,6.26,198.938,12.702450009550715
370,94.5,99.65,99.01,165620,32530,51978,10544,53583,16986,0.49,9186,6042,2175,7019,5254,780,1975,2372,8100,2781,605,4519,357,3103,6644,3.97,29.68,2.34,20.38,43.63,39079,1.33,21914,2.38,233,1170,1417,9334,5004,7,0.773,96,0.867,0.7240000000000001,0.737,42,71,70,79,1.51,42,0.8,13.26,50.99,98.31,387,7.43,7,44.43,305,3354.6,2072343.33,39986.56,0.097759,52516,25803,26713,96.59,50148,2368,95.49,2324,1824,613,2473,2504,1919,1326,47,0.9,124,4.74,102,1.95,13,0.25,125,2.39,179,3.42,12,0.46,708.25,14.52,4.17,802.555,65.43601373114616
371,99.89,100.0,100.0,11031,986,4042,1232,3588,1182,0.86,1700,599,210,891,1041,157,693,475,948,183,406,1252,0,308,333,17.66,54.46,0.0,13.4,14.48,2092,1.99,1184,3.51,27,141,231,287,221,1,0.738,321,0.863,0.6709999999999999,0.693,47,63,49,0,0.0,0,0.0,15.39,57.61,74.94,29,6.97,2,145.35,18,3087.48,122670.98,29731.21,0.005787,4225,2154,2071,104.01,3597,628,85.14,202,152,51,201,205,176,129,27,6.44,0,0.0,11,2.62,2,0.48,1,0.24,50,11.93,1,0.48,542.38,17.31,4.1,242.946,17.390695874803455
372,98.39,99.94,96.66,9266,1047,1282,703,4730,1505,0.28,516,340,65,360,365,66,98,129,498,131,129,209,4,74,440,15.07,24.42,0.47,8.64,51.4,3338,1.87,1966,3.17,25,159,254,500,433,1,0.77,110,0.8370000000000001,0.7609999999999999,0.7170000000000001,31,71,50,0,0.0,0,0.0,11.23,44.0,108.86,56,8.99,1,52.63,44,3849.52,99053.88,15937.87,0.004673,6265,3048,3217,94.75,5956,309,95.07,276,225,74,277,257,227,166,60,9.6,0,0.0,33,5.28,0,0.0,1,0.16,48,7.68,0,0.0,618.32,21.01,6.55,218.668,28.6507399345126
373,99.82,100.0,99.39,15274,203,6047,2200,4841,1983,1.95,2063,613,195,1291,1067,123,651,528,1052,445,126,1935,9,146,460,4.71,72.31,0.34,5.46,17.19,3685,1.8,1978,3.36,62,323,325,467,529,1,0.767,127,0.8240000000000001,0.762,0.7190000000000001,47,67,68,0,0.0,0,0.0,12.05,40.94,52.62,23,3.46,0,0.0,18,2593.66,438061.3,67094.7,0.020665,6866,3465,3401,101.88,6405,461,93.29,357,264,87,350,354,281,201,5,0.74,5,1.48,10,1.48,2,0.3,7,1.04,27,4.0,0,0.0,642.18,13.14,3.41,247.378,27.755095440985052
374,99.91,99.96,99.84,186127,111120,17793,3863,35523,17828,0.62,7672,3833,1499,4881,4475,650,1429,2820,5794,1462,840,3308,841,2540,3976,7.3,28.75,7.31,22.08,34.56,33640,1.24,16548,2.53,324,1436,1049,10318,3945,20,0.78,66,0.882,0.703,0.765,42,77,61,98,2.33,60,1.43,10.72,39.76,81.59,259,6.2,9,68.77,196,3114.57,1781346.83,42851.74,0.08403200000000001,42266,20687,21579,95.87,41177,1089,97.42,2020,1655,549,2068,1902,1586,1142,50,1.19,84,4.0,53,1.26,15,0.36,87,2.07,162,3.85,11,0.52,758.9,13.68,3.39,291.765,144.86316042020118
375,99.12,99.29,83.76,1467911,221524,538446,3,624679,83259,0.21,86559,71970,26191,71119,55331,5888,9350,19499,89984,39696,9,14939,5265,45281,93035,0.01,9.42,3.32,28.56,58.69,427440,1.59,283411,2.39,2722,12093,4832,73290,50886,206,0.7759999999999999,83,0.84,0.718,0.7759999999999999,50,67,49,878,1.29,578,0.85,14.86,52.62,63.29,4632,6.83,247,113.98,3124,3612.81,77910495.95,115226.82,3.675276,680964,327774,353190,92.8,680964,0,100.0,36193,29567,9788,36710,32989,26158,19195,2006,2.95,972,2.86,2101,3.09,133,0.2,568,0.84,3696,5.44,80,0.24,757.55,20.47,8.54,64.954,10483.788527265451
376,99.44,99.58,98.47,4698,756,571,859,1693,819,-0.09,246,208,24,173,230,27,62,56,220,116,46,85,0,50,273,10.13,18.72,0.0,11.01,60.13,1420,1.77,843,2.99,8,80,39,183,267,0,0.7490000000000001,236,0.823,0.715,0.713,31,60,75,0,0.0,0,0.0,14.3,58.35,144.12,29,11.52,0,0.0,22,3741.5,83957.24,33316.37,0.003961,2514,1204,1310,91.91,2203,311,87.63,106,76,26,108,117,79,53,9,3.58,1,0.79,12,4.77,0,0.0,0,0.0,12,4.77,0,0.0,569.22,22.11,5.84,222.13,11.31769684419034
377,99.8,99.78,98.98,59815,5663,11592,6687,25545,10330,0.11,3970,3430,1216,3098,2690,396,415,1038,4729,1218,236,2214,86,1704,3160,3.19,29.92,1.16,23.03,42.7,23240,1.34,12301,2.54,126,1198,1581,5763,2265,6,0.762,151,0.8370000000000001,0.713,0.74,36,69,58,77,2.47,53,1.7,10.45,42.86,137.99,274,8.78,6,62.89,220,3455.32,878448.97,28168.96,0.041439,31263,15573,15690,99.25,28537,2726,91.28,1177,929,309,1213,1217,989,835,133,4.26,65,4.16,86,2.75,5,0.16,54,1.73,25,0.8,15,0.96,651.44,16.67,4.57,248.038,126.04117111087818
378,99.62,99.76,98.57,211154,36083,45367,2645,90064,36995,0.71,15481,11329,4020,11588,10077,1125,3020,4530,14750,4510,2061,5642,837,6819,11451,7.69,21.04,3.12,25.43,42.71,76519,1.43,39458,2.76,658,2926,2442,22628,8377,30,0.778,75,0.8590000000000001,0.727,0.753,37,74,62,166,1.51,83,0.76,11.84,44.98,84.4,777,7.13,25,75.13,581,3297.2,2999647.8,27690.68,0.141503,110489,53580,56909,94.15,107635,2854,97.42,5520,4367,1453,5620,5341,4145,2966,267,2.43,194,3.53,273,2.49,15,0.14,257,2.34,471,4.29,23,0.42,724.4,17.61,5.34,295.818,373.5033027063938
379,99.05,99.68,96.8,19200,1959,3652,2973,8476,2140,1.55,2167,745,304,1357,1111,140,413,508,1523,468,228,1028,504,368,784,7.83,35.3,17.31,12.64,26.92,5935,1.6,3414,2.79,38,226,372,1205,679,1,0.77,110,0.866,0.736,0.7170000000000001,38,77,65,33,3.42,28,2.9,13.77,50.25,83.14,81,8.51,7,224.29,55,3806.23,439498.73,46829.91,0.020732,9777,4832,4945,97.71,9111,666,93.19,489,370,122,467,445,342,255,23,2.38,19,3.94,37,3.84,9,0.93,14,1.45,44,4.56,1,0.21,640.64,17.58,5.63,288.648,33.871705329674896
380,99.91,99.6,87.06,18349,215,2880,2250,7977,5026,-0.12,1013,1616,257,1133,1120,119,173,266,1667,523,183,58,30,376,1982,6.96,2.21,1.14,14.3,75.39,7040,1.86,4444,2.95,41,323,421,1017,794,0,0.725,430,0.843,0.631,0.7170000000000001,27,70,58,37,2.83,32,2.45,8.17,41.85,133.01,99,7.56,4,84.93,76,3268.82,200516.23,15300.74,0.009459,13056,7602,5454,139.38,9620,3436,73.68,428,318,108,462,505,318,292,46,3.52,21,3.21,24,1.84,0,0.0,9,0.69,15,1.15,0,0.0,490.16,21.72,6.54,339.375,38.4707182320442
381,99.46,99.56,83.95,20579,1977,1629,5988,8666,2320,0.98,1825,773,343,1243,921,91,617,457,1220,304,1346,460,19,261,512,51.81,17.71,0.73,10.05,19.71,6596,1.81,4159,2.88,50,231,374,877,905,0,0.732,370,0.848,0.645,0.7170000000000001,36,82,59,0,0.0,0,0.0,10.62,41.29,111.18,64,5.35,1,26.88,53,2434.54,398719.97,33610.38,0.018809,12160,6119,6041,101.29,10458,1702,86.0,515,364,123,526,568,382,273,7,0.58,19,3.15,15,1.24,2,0.17,12,1.0,40,3.32,0,0.0,619.45,16.21,4.56,697.701,17.428669301032965
382,98.35,99.94,99.68,10862,116,1655,238,7389,1464,1.77,331,483,129,319,307,59,47,125,439,203,82,31,0,231,470,10.07,3.81,0.0,28.38,57.74,4464,2.82,2696,4.67,120,148,226,791,483,0,0.722,452,0.8370000000000001,0.645,0.698,27,67,54,0,0.0,0,0.0,10.96,39.29,44.83,65,5.16,4,84.69,43,3788.55,118360.46,9546.74,0.005582999999999999,12997,6881,6116,112.51,12623,374,97.12,675,485,162,673,711,510,357,95,7.43,6,0.94,13,1.02,0,0.0,1,0.08,45,3.52,2,0.31,552.22,15.46,3.14,82.125,158.2587519025875
383,99.92,99.92,94.98,17070,194,2955,5079,6855,1986,-0.49,664,467,143,454,475,59,137,146,610,238,176,57,90,332,476,15.56,5.04,7.96,29.35,42.09,7089,1.3,3954,2.33,37,332,519,1300,946,1,0.753,207,0.8290000000000001,0.7140000000000001,0.72,29,77,64,20,2.18,10,1.09,9.89,41.69,153.52,100,10.87,5,201.78,76,3629.42,169314.68,18326.08,0.007987000000000001,9130,4535,4595,98.69,7428,1702,81.36,327,255,85,348,371,315,237,4,0.44,16,3.49,14,1.53,7,0.76,7,0.76,40,4.36,2,0.44,601.55,17.51,4.42,318.74,28.64403589132208
384,99.85,99.82,98.72,84716,44107,8083,8893,17350,6284,0.2,2479,1486,498,1620,1666,181,445,593,2168,759,608,863,19,936,1539,15.33,21.77,0.48,23.61,38.81,14786,1.46,7912,2.72,71,976,829,2961,2024,13,0.746,260,0.8140000000000001,0.7020000000000001,0.727,37,66,57,54,2.5,36,1.67,12.22,49.25,109.62,218,10.13,5,82.16,159,3752.66,690854.74,32156.71,0.03259,21599,10512,11087,94.81,20431,1168,94.59,1009,815,271,1050,983,724,536,81,3.76,35,3.25,44,2.04,2,0.09,40,1.86,63,2.92,5,0.46,608.27,21.51,7.19,548.4069999999998,39.38498232152399
